停留所コード,停留所名,URL
05195,大門通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05195
05197,大門通東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05197
05199,大木曽南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05199
05200,小栗橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05200
05205,桶狭間寺前,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05205
05207,尾崎山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05207
05210,押切町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05210
05215,小田井市場木,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05215
05220,小田井野田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05220
05225,尾頭橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05225
05230,音聞山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05230
05235,大殿町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05235
05240,御成通三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05240
05245,小幡,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05245
05247,小幡稲荷公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05247
05250,小幡ケ原,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05250
05255,小幡苗代,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05255
05260,小幡宮前,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05260
05262,小幡緑地,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05262
05263,小幡緑地西園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05263
05265,表山一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05265
05270,折戸,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05270
11000,海東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11000
11002,科学館西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11002
11003,鏡田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11003
11005,杜若,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11005
11010,覚王山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11010
11015,水主町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11015
11020,篭山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11020
11025,篭山西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11025
11030,笠寺駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11030
11035,笠寺西門,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11035
11040,笠取町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11040
11045,霞ケ丘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11045
11046,烏森駅南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11046
11048,烏森町七丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11048
11050,風越橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11050
11055,勝手塚,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11055
11060,金船町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11060
11065,要町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11065
11070,金屋坊,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11070
11075,金山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11075
11077,金山南口,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11077
11085,香流小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11085
11087,香流中学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11087
11089,香流二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11089
11090,香流橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11090
11095,香流橋東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11095
11100,蟹田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11100
11105,金田町五丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11105
11108,金田町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11108
11110,包里,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11110
11112,包里住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11112
