route_id,route_name,系統名,運行区間
,,東海11,港区役所　ー　多加良浦　(ノンステップ)
,,東海11,港区役所　ー　港区役所　(ノンステップ)
,,東海12,六番町　ー　河合小橋　(ノンステップ)
,,東海12,港区役所　ー　サンビーチ日光川　(ノンステップ)
,,東海12,港区役所　ー　中川車庫前　(ノンステップ)
,,東海12,港区役所　ー　河合小橋　(ノンステップ)
,,東海12,港区役所　ー　港区役所　(ノンステップ)
,,東巡回,大曽根　ー　茶屋ケ坂　(ノンステップ)
,,藤丘11,藤が丘　ー　印場駅　(ノンステップ)
,,藤丘11,藤が丘　ー　引山　(ノンステップ)
,,藤丘12,印場　ー　東谷山フルーツパーク　(ノンステップ)
,,藤丘12,藤が丘　ー　中志段味　(ノンステップ)
,,藤丘12,藤が丘　ー　印場　(ノンステップ)
,,藤丘12,藤が丘　ー　東谷山フルーツパーク　(ノンステップ)
,,徳重11,地下鉄徳重　ー　地下鉄平針　(ノンステップ)
,,徳重12,地下鉄徳重　ー　白土　(ノンステップ)
,,徳重12,地下鉄徳重　ー　白土　(ノンステップ)
,,徳重12,地下鉄徳重　ー　緑車庫　(ノンステップ)
,,徳重13,地下鉄原　ー　藤田保健衛生大学病院　(ノンステップ)
,,徳重13,地下鉄徳重　ー　藤田保健衛生大学病院　(ノンステップ)
,,徳重14,地下鉄徳重　ー　名鉄有松　(ノンステップ)
,,徳重14,地下鉄徳重　ー　鳴海団地　(ノンステップ)
,,徳重巡回,白土　ー　藤田保健衛生大学病院　(ノンステップ)
,,南巡回,神宮東門　ー　神宮東門　(ノンステップ)
,,南陽巡回,戸田荘　ー　河合小橋　(ノンステップ)
,,楠巡回,如意車庫前　ー　如意車庫前　(ノンステップ)
,,熱田巡回,神宮東門　ー　神宮東門　(ノンステップ)
,,八事11,名古屋大学　ー　島田住宅　(ノンステップ)
,,八事11,妙見町　ー　島田住宅　(ノンステップ)
,,八事11,妙見町　ー　平針住宅　(ノンステップ)
,,八事12,千種駅前　ー　島田一ツ山　(ノンステップ)
,,八事12,杁中　ー　島田一ツ山　(ノンステップ)
,,富田巡回,戸田　ー　戸田荘　(ノンステップ)
,,平針11,地下鉄平針　ー　地下鉄徳重　(ノンステップ)
,,平針11,地下鉄平針　ー　平針住宅　(ノンステップ)
,,平針11,地下鉄平針　ー　神の倉　(ノンステップ)
,,平針12,地下鉄平針　ー　地下鉄原　(ノンステップ)
,,平針12,平針上ノ池　ー　地下鉄原　(ノンステップ)
,,北巡回,黒川　ー　黒川　(ノンステップ)
,,本郷11,本郷　ー　引山　(ノンステップ)
,,本郷11,本郷　ー　本地住宅　(ノンステップ)
,,名駅11,名古屋駅　ー　名古屋駅　(ノンステップ)
,,名駅11,名古屋駅　ー　康生通四丁目　(ノンステップ)
,,名駅12,名古屋駅　ー　如意車庫前　(ノンステップ)
,,名駅12,名古屋駅　ー　如意車庫前　(ノンステップ)
,,名駅13,名古屋駅　ー　上飯田　(ノンステップ)
,,名駅13,名古屋駅　ー　中切町　(ノンステップ)
,,名駅13,名古屋駅　ー　天神山　(ノンステップ)
,,名駅14,名古屋駅　ー　大曽根　(ノンステップ)
,,名駅14,名古屋駅　ー　市役所　(ノンステップ)
,,名駅15,名古屋駅　ー　浄心町　(ノンステップ)
,,名駅15,名古屋駅　ー　茶屋ケ坂　(ノンステップ)
,,名駅15,名古屋駅　ー　西部医療センター　(ノンステップ)
,,名駅15,名古屋駅　ー　黒川　(ノンステップ)
,,名駅15,黒川　ー　茶屋ケ坂　(ノンステップ)
,,名駅16,名古屋駅　ー　名古屋駅　(ノンステップ)
,,名駅16,名古屋駅　ー　広小路本町　(ノンステップ)
,,名駅17,名古屋駅　ー　名古屋大学　(ノンステップ)
,,名駅18,名古屋駅　ー　名鉄神宮前　(ノンステップ)
,,名駅19,名古屋駅　ー　港区役所　(ノンステップ)
,,名駅20,名古屋駅　ー　中川車庫前　(ノンステップ)
,,名駅20,名古屋駅　ー　中川車庫前　(ノンステップ)
,,名駅20,名古屋駅　ー　権野　(ノンステップ)
,,名駅22,名古屋駅　ー　横井町　(ノンステップ)
,,名駅23,名古屋駅　ー　岩塚本通四丁目　(ノンステップ)
,,名駅23,名古屋駅　ー　横井町　(ノンステップ)
,,名駅24,名古屋駅　ー　大治西条　(ノンステップ)
,,名駅25,名古屋駅　ー　名古屋駅　(ノンステップ)
,,名駅25,名古屋駅　ー　本陣　(ノンステップ)
,,名駅25,名古屋駅　ー　豊公橋　(ノンステップ)
,,名駅25,豊公橋　ー　名古屋駅　(ノンステップ)
,,名駅26,名古屋駅　ー　平田住宅　(ノンステップ)
,,名駅29,名古屋駅　ー　名古屋駅　(ノンステップ)
,,名駅29,名古屋駅　ー　枇杷島スポーツセンター　(ノンステップ)
,,名港11,名古屋港　ー　鳴尾車庫　(ノンステップ)
,,名港13,港区役所　ー　多加良浦　(ノンステップ)
,,名港13,港区役所　ー　多加良浦　(ノンステップ)
,,名港16,名古屋港　ー　地下鉄鳴子北　(ノンステップ)
,,名東巡回,星ケ丘　ー　猪高車庫　(ノンステップ)
,,鳴.ワイ,鳴尾車庫　ー　ワイルドフラワーガーデン　(ノンステップ)
,,鳴海11,南大高駅　ー　南大高駅　(ノンステップ)
,,鳴子11,地下鉄鳴子北　ー　地下鉄植田　(ノンステップ)
,,鳴子12,地下鉄鳴子北　ー　太子　(ノンステップ)
,,鳴子13,地下鉄鳴子北　ー　南大高駅　(ノンステップ)
,,鳴子13,地下鉄鳴子北　ー　有松町口無池　(ノンステップ)
,,鳴子14,地下鉄鳴子北　ー　大高駅　(ノンステップ)
,,鳴子15,地下鉄鳴子北　ー　鳴尾車庫　(ノンステップ)
,,鳴子16,地下鉄鳴子北　ー　藤田保健衛生大学病院　(ノンステップ)
,,有松11,有松町口無池　ー　太子　(ノンステップ)
,,有松12,大高駅　ー　有松町口無池　(ノンステップ)
,,有松12,要町　ー　有松町口無池　(ノンステップ)
,,有松12,鳴尾車庫　ー　名鉄有松　(ノンステップ)
,,有松12,鳴尾車庫　ー　有松町口無池　(ノンステップ)
,,緑.大清,緑車庫　ー　大清水　(ノンステップ)
,,緑.地原,緑車庫　ー　地下鉄原　(ノンステップ)
,,緑巡回,名鉄有松　ー　藤田保健衛生大学病院　(ノンステップ)
